timestamp,Model,mode,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,
2026-03-14 21:57,gemini-2.5-flash-lite,WEB,785,462,1247,0.000079,0.000185,0.000263,
2026-03-15 10:21,gemini-2.5-flash-lite,WEB,1129,444,1573,0.000113,0.000178,0.000291,
2026-03-15 10:40,gemini-2.5-flash-lite,WEB,1259,430,1689,0.000126,0.000172,0.000298,
2026-03-15 10:58,gemini-2.5-flash-lite,WEB,995,371,1366,0.0001,0.000148,0.000248,
2026-03-15 11:20,gemini-2.5-flash-lite,WEB,1274,404,1678,0.000127,0.000162,0.000289,
2026-03-15 11:42,gemini-2.5-flash-lite,WEB,1389,500,1889,0.000139,0.0002,0.000339,
,,,,,,,,0.034957,Php2.062463
2026-03-15 14:56,gemini-2.5-flash-lite,WEB,3217,716,3933,0.000322,0.000286,0.000608,
2026-03-15 15:25,gemini-2.5-flash-lite,WEB,3507,552,4059,0.000351,0.000221,0.000572,
2026-03-15 19:00,gpt-5-nano,WEB,1248,7766,9014,0.000062,0.003106,0.003169,
2026-03-15 19:40,gemini-2.5-flash-lite,WEB,1294,448,1742,0.000129,0.000179,0.000309,
2026-03-16 19:39,gpt-5-nano,PRINT,2570,3886,6456,0.000129,0.001554,0.001683,
2026-03-16 19:43,gemini-2.5-flash-lite,PRINT,2659,432,3091,0.000266,0.000173,0.000439,
2026-03-16 19:48,gemini-2.5-flash-lite,PRINT,2659,234,2893,0.000266,0.000094,0.00036,
,,,,,,,,0.042097,Php2.483723
2026-03-17 18:11,gemini-2.5-flash-lite,WEB,1545,507,2052,0.000155,0.000203,0.000357,
2026-03-17 20:39,gemini-2.5-flash-lite,WEB,1697,532,2229,0.00017,0.000213,0.000383,
2026-03-17 21:05,gemini-2.5-flash-lite,WEB,1709,567,2276,0.000171,0.000227,0.000398,
2026-03-17 23:38,gemini-2.5-flash-lite,WEB,1343,501,1844,0.000134,0.0002,0.000335,
2026-03-17 23:38,imagen-4.0-fast,VISUAL,,,,,,0.02,
2026-03-18 00:17,gemini-2.5-flash-lite,WEB,1437,542,1979,0.000144,0.000217,0.000361,
2026-03-18 00:18,imagen-4.0-fast,VISUAL,,,,,,0.02,
,,,,,,,,0.083931,Php4.951929
2026-03-18 08:19,gemini-2.5-flash-lite,WEB,1716,603,2319,0.000172,0.000241,0.000413,
2026-03-18 08:20,gemini-2.5-flash-lite,PRINT,1717,376,2093,0.000172,0.00015,0.000322,
2026-03-18 08:22,gemini-2.5-flash-lite,PRINT,1717,271,1988,0.000172,0.000108,0.00028,
2026-03-18 08:23,imagen-4.0-fast,VISUAL,,,,,,0.02,
2026-03-18 08:29,gemini-2.5-flash-lite,WEB,1714,582,2296,0.000171,0.000233,0.000404,
2026-03-18 08:35,imagen-4.0-fast,VISUAL,,,,,,0.02,
2026-03-18 08:37,imagen-4.0-fast,VISUAL,,,,,,0.02,
2026-03-18 08:38,imagen-4.0-fast,VISUAL,,,,,,0.02,
,,,,,,,,0.16535,Php9.755650
2026-03-18 10:24,gemini-2.5-flash-lite,WEB,1850,659,2509,0.000185,0.000264,0.000449,
2026-03-18 10:24,imagen-4.0-fast,VISUAL,,,,,,0.02,
2026-03-18 10:49,imagen-4.0-fast,VISUAL,,,,,,0.02,
2026-03-18 11:41,flux.1-schnell,VISUAL,,,,,,0.0014,
,,,,,,,,0.207199,Php12.224741
2026-03-18 14:56,gemini-2.5-flash-lite,WEB,1776,556,2332,0.000178,0.000222,0.0004,
2026-03-18 14:56,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 15:02,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 15:07,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 18:38,gemini-2.5-flash-lite,WEB,1534,410,1944,0.000153,0.000164,0.000317,
2026-03-18 18:38,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 18:45,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 18:48,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 18:52,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 19:13,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 20:01,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 20:13,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 20:15,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 23:43,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-18 23:59,gemini-2.5-flash-lite,WEB,1626,535,2161,0.000163,0.000214,0.000377,
2026-03-19 00:04,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 00:06,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 00:08,flux.1-schnell,VISUAL,,,,,,0.0014,
,,,,,,,,0.229293,Php13.528287
2026-03-19 12:15,gemini-2.5-flash-lite,WEB,1566,584,2150,0.000157,0.000234,0.00039,
2026-03-19 12:16,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 13:04,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 13:05,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 14:40,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 14:45,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 14:50,flux.1-schnell,VISUAL,,,,,,0.0014,
,,,,,,,,0.238083,Php14.046897
2026-03-19 19:04,meta-llama/llama-3.2-3b-instruct,WEB,1783,465,2248,0,0,0,
2026-03-19 19:05,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 19:26,arcee-ai/trinity-large-preview:free,WEB,1775,443,2218,0,0,0,
2026-03-19 19:26,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 20:15,arcee-ai/trinity-large-preview:free,WEB,1764,592,2356,0,0,0,
2026-03-19 20:55,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 20:56,flux.1-schnell,VISUAL,,,,,,0.0014,
,,,,,,,,0.243683,Php14.377297
2026-03-19 22:23,arcee-ai/trinity-large-preview:free,WEB,2843,545,3388,0,0,0,
2026-03-19 22:24,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 22:34,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 23:44,arcee-ai/trinity-large-preview:free,WEB,1507,582,2089,0,0,0,
2026-03-19 23:44,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-19 23:47,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 08:36,meta-llama/llama-3.2-3b-instruct:free,WEB,1624,388,2012,0,0,0,
2026-03-20 08:36,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 08:58,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 09:00,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 09:02,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 09:04,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 09:12,arcee-ai/trinity-large-preview:free,WEB,1597,500,2097,0,0,0,
2026-03-20 09:14,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 09:16,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 09:21,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 09:22,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 10:22,gemini-2.5-flash-lite,WEB,2868,562,3430,0.000287,0.000225,0.000512,
2026-03-20 10:23,flux.1-schnell,VISUAL,,,,,,0.0014,
,,,,,,,,0.263795,Php15.563905
2026-03-20 10:46,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 10:50,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 11:04,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 11:12,flux.1-schnell,VISUAL,,,,,,0.0014,
,,,,,,,,0.269395,Php15.894305
2026-03-20 11:25,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 21:51,flux.1-schnell,VISUAL,,,,,,0.0014,
2026-03-20 22:56,flux.1,VISUAL,,,,,,0.0014,
2026-03-20 23:30,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-20 23:36,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-20 23:49,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 09:02,gemini-2.5-flash-lite,WEB,1584,425,2009,0.000158,0.00017,0.000328,
2026-03-21 09:05,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 09:18,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 09:19,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 09:22,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 09:25,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 10:44,gemini-2.5-flash-lite,WEB,1526,475,2001,0.000153,0.00019,0.000343,
2026-03-21 10:47,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 10:48,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 11:02,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 11:18,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 11:37,gemini-2.5-flash-lite,WEB,1299,400,1699,0.00013,0.00016,0.00029,
2026-03-21 11:39,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 11:43,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 11:46,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 12:01,gemini-2.5-flash-lite,WEB,2096,511,2607,0.00021,0.000204,0.000414,
2026-03-21 12:02,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 12:04,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 12:10,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 12:23,arcee-ai/trinity-large-preview:free,WEB,1920,582,2502,0,0,0,
2026-03-21 12:24,imagen-3.0,VISUAL,,,,,,0.02,
2026-03-21 12:28,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 12:29,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 12:43,arcee-ai/trinity-large-preview:free,PRINT,1456,287,1743,0,0,0,
2026-03-21 12:43,flux.1,VISUAL,,,,,,0.0014,
2026-03-21 19:21,arcee-ai/trinity-large-preview:free,WEB,2036,596,2632,0,0,0,
2026-03-21 19:30,imagen-4.0,VISUAL,,,,,,0.02,
